,Fecha,V mean,V std,c,k,RWeibull,RRayleigh
0,2015-09-19 00:10:00,12.291724537037036,7.907013121528447,4.87807797821464,13.366953594878636,0.997599574084666,0.997599574084666
1,2015-10-01 00:10:00,11.048319892473117,19.04271732000752,2.7480057176485864,12.356553053862669,0.9928366126619639,0.9928366126619639
2,2015-11-01 00:10:00,10.389143518518518,16.29651790484337,2.800826642649428,11.580806154829368,0.9859501308811575,0.9859501308811575
3,2015-12-01 00:10:00,10.049081541218639,17.871874576365446,2.4859932486703773,11.203966576749087,0.9821111766365874,0.9821111766365874
4,2016-01-01 00:10:00,5.32600806451613,13.83993960647763,1.4572254027275828,5.885225762840175,0.9981303322779386,0.9981303322779386
5,2016-02-01 00:10:00,6.812643678160919,15.083590997315715,1.7665950646692898,7.629447518487123,0.991509044492647,0.991509044492647
6,2016-03-01 00:10:00,7.66008064516129,15.817971402860797,1.9861236804773168,8.619365381455196,0.98987005581976,0.98987005581976
7,2016-04-01 00:10:00,9.915393518518519,15.31098085923096,2.73846529744789,11.046309644809593,0.9815054241632591,0.9815054241632591
8,2016-05-01 00:10:00,10.819242831541219,18.73451423723294,2.711638107783451,12.078862054777932,0.9863492737145071,0.9863492737145071
9,2016-06-01 00:10:00,10.39060185185185,20.604732214675895,2.4468717784034966,11.66130717249289,0.9855286834158966,0.9855286834158966
10,2016-07-01 00:10:00,10.826523297491041,15.22073485135045,3.0840892493678127,12.066170838149846,0.9940398279506125,0.9940398279506125
11,2016-08-01 00:10:00,10.230824372759855,19.99100124721224,2.426302896124569,11.472427146526735,0.9861400583614138,0.9861400583614138
12,2016-09-01 00:10:00,9.315902777777778,20.280110553175888,2.153262538266262,10.478043961930553,0.9910825624749334,0.9910825624749334
13,2016-10-01 00:10:00,9.856384408602151,18.518413184932744,2.430981487319509,11.050547303896334,0.9859934689354614,0.9859934689354614
14,2016-11-01 00:10:00,7.3644429001621505,19.66438183159752,1.6751819308968712,8.236454616635333,0.9897826575317975,0.9897826575317975
15,2016-12-01 00:10:00,7.664650537634409,17.044463781052812,1.854457520560953,8.576486519357584,0.9881275923257639,0.9881275923257639
16,2017-01-01 00:10:00,6.153248207885305,14.071434663003734,1.6157077634640162,6.839557477069361,0.9925348953532732,0.9925348953532732
17,2017-02-01 00:10:00,5.711830357142857,16.802516916885214,1.361497947269708,6.228238885949395,0.994313611002064,0.994313611002064
18,2017-03-01 00:10:00,6.347513440860215,14.358165449068686,1.674677478195549,7.088540688018609,0.9882388621902857,0.9882388621902857
19,2017-04-01 00:10:00,9.02023148148148,16.63789575561901,2.297054727620573,10.105032225171968,0.9866737845077076,0.9866737845077076
20,2017-05-01 00:10:00,10.095609318996416,12.5963822412396,3.178741575002528,11.220065782017144,0.9910590033521243,0.9910590033521243
21,2017-06-01 00:10:00,9.604907407407406,19.83521555058184,2.2462385874892155,10.775724556070758,0.9827208121817979,0.9827208121817979
22,2017-07-01 00:10:00,8.780219534050179,15.929805822284704,2.3057229616127692,9.869089669138537,0.9958369365937386,0.9958369365937386
23,2017-08-01 00:10:00,10.490344982078854,19.88713732214376,2.5016464757847605,11.738453152790001,0.9833637354367875,0.9833637354367875
24,2017-09-01 00:10:00,10.664259259259259,18.98578875425553,2.6061734004497232,11.89663705806989,0.984332608805748,0.984332608805748
25,2017-10-01 00:10:00,10.818033154121864,16.35014526800206,2.92389174504178,12.032927802689159,0.9871049098719362,0.9871049098719362
26,2017-11-01 00:10:00,8.186342592592593,19.171769903441295,1.8844159244238852,9.17530100426339,0.9879735220763394,0.9879735220763394
27,2017-12-01 00:10:00,5.259498207885305,11.690543866454327,1.5701612963517724,5.861135713776323,0.9958092747733622,0.9958092747733622
28,2018-01-01 00:10:00,6.546012544802867,17.257299803562066,1.5176490945677925,7.222091198648402,0.9902469633147988,0.9902469633147988
29,2018-02-01 00:10:00,4.924776785714286,10.708150533144913,1.5096714326948582,5.455415339733399,0.9965018527093374,0.9965018527093374
30,2018-03-01 00:10:00,7.458109318996415,15.21246839405161,1.8497792177124432,8.2956249586321,0.9840849388138031,0.9840849388138031
31,2018-04-01 00:10:00,6.526319444444444,12.30137936540094,1.9030151681496086,7.333681801615421,0.9929316207275599,0.9929316207275599
32,2018-05-01 00:10:00,9.509923835125448,19.99051095095316,2.0533270330548974,10.548718073216014,0.9667813180237415,0.9667813180237415
33,2018-06-01 00:10:00,9.021689814814815,16.120652388134257,2.3909222832792807,10.148479541337677,0.9921938351569777,0.9921938351569777
34,2018-07-01 00:10:00,9.381406810035843,16.06587424719538,2.5382528455590694,10.550689547798047,0.9893334920263044,0.9893334920263044
35,2018-08-01 00:10:00,8.946104397017228,16.668961800826853,2.2064781787253556,9.976596887111482,0.9826980671915035,0.9826980671915035
